사용월,호선명,지하철역,04시-05시 승차인원,05시-06시 승차인원,06시-07시 승차인원,07시-08시 승차인원,08시-09시 승차인원,09시-10시 승차인원,10시-11시 승차인원,11시-12시 승차인원,12시-13시 승차인원,13시-14시 승차인원,14시-15시 승차인원,15시-16시 승차인원,16시-17시 승차인원,17시-18시 승차인원,18시-19시 승차인원,19시-20시 승차인원,20시-21시 승차인원,21시-22시 승차인원,22시-23시 승차인원,23시-24시 승차인원,00시-01시 승차인원,01시-02시 승차인원,02시-03시 승차인원,03시-04시 승차인원
202102,7호선,남성,4,4279,9638,28149,43894,24668,14195,12119,12051,12645,11314,10793,10794,11669,11750,6640,6189,6275,3556,985,11,0,0,0
202102,7호선,내방,4,1831,5194,12620,20821,14929,10807,11266,12100,14061,14954,16106,19678,29600,55457,21516,15517,16394,8978,1864,3,0,0,0
202102,7호선,노원,98,5142,10581,28586,28696,21828,22102,24689,24951,26614,28097,29708,32522,32240,37009,22048,25537,23956,11381,2237,10,0,0,0
202102,7호선,논현,6,1607,3632,6265,12046,9919,9144,11393,13381,14653,17749,21914,26869,45170,84088,48622,31876,40393,24897,4727,9,0,0,0
202102,7호선,대림(구로구청),29,8518,6967,11525,15720,11939,8683,9375,10613,11062,11467,12135,11642,13656,15201,9498,7437,6939,3773,1034,0,0,0,0
202102,7호선,도봉산,10,3552,13150,40249,31826,14976,9082,8328,9146,8876,9676,10044,10236,9023,7601,3633,2595,2139,1385,384,20,0,0,0
202102,7호선,뚝섬유원지,2,3556,6443,14909,22661,15238,8657,7664,7718,7943,8247,9310,11398,13066,14117,9387,8133,7815,5199,1987,0,0,0,0
202102,7호선,마들,19,7391,17499,47164,43952,22071,16101,14310,15287,14085,12611,11570,11588,10209,9306,5643,4335,3934,2252,689,4,0,0,0
202102,7호선,먹골,10,5660,9762,27457,34559,19838,12572,11331,12001,11654,10863,10798,10422,11355,12525,7614,5482,5378,3126,964,0,0,0,0
202102,7호선,면목,16,9528,17730,43606,58659,31952,18255,15764,16671,16491,15124,14210,15241,15360,16395,11848,7301,6761,3655,1076,1,0,0,0
202102,7호선,반포,6,601,1997,5039,8061,5663,4053,4296,5617,6261,6510,8053,11104,12837,13828,9404,7490,9522,4371,939,9,0,0,0
202102,7호선,보라매,21,4208,6244,17039,26164,14390,8645,9083,9526,9486,9454,10178,12323,14834,26222,9227,7254,7153,3821,1010,0,0,0,0
202102,7호선,부천시청,9,4290,12002,32875,33004,15259,10732,11466,12208,12447,12345,14165,15631,18456,21057,12945,14866,12529,6504,1207,4,0,0,0
202102,7호선,부천종합운동장,14,2515,4473,12821,15432,7718,4819,4676,4734,4347,4072,4169,4925,6296,7804,3251,2142,2020,1108,312,0,0,0,0
202102,7호선,부평구청,35,6247,17314,49497,42032,19453,10926,10043,10661,10376,8756,8609,9187,12742,11818,6637,5041,4717,2932,743,0,0,0,0
202102,7호선,사가정,6,9189,17056,42821,55585,32138,20379,17922,19300,18768,17371,17499,17759,19358,19494,13820,10485,10241,6030,1737,1,0,0,0
202102,7호선,삼산체육관,9,2267,7653,18502,17011,8074,5174,5119,5385,4966,4592,4560,4479,4402,3787,2166,1664,1778,1295,412,4,0,0,0
202102,7호선,상도,0,3303,8054,21846,32529,19386,11721,10744,11598,12017,11185,10768,12315,13760,13780,7451,6467,6720,4861,1404,5,0,0,0
202102,7호선,상동,2,3167,11409,29808,28214,13721,10406,11316,13255,13122,13498,15090,17343,18745,23530,14305,14159,16392,8273,2026,6,0,0,0
202102,7호선,상봉(시외버스터미널),245,7959,14744,39727,57558,29068,17336,16044,17679,18138,17276,18361,20763,24591,25832,17446,14697,14727,7834,2070,19,0,0,0
202102,7호선,수락산,22,7106,15736,39951,37434,21438,15144,14072,15208,15974,15951,16046,16255,15462,15707,9078,6528,5994,3044,787,6,0,0,0
202102,7호선,숭실대입구(살피재),9,4134,8775,26264,39105,21434,13280,11806,12510,13060,12221,12166,13589,16186,14184,8199,6879,7603,5095,1620,3,0,0,0
202102,7호선,신대방삼거리,7,7753,13420,38336,61319,33662,18480,16532,17603,16782,15403,15698,17371,18845,23455,12697,10185,9566,5701,1634,1,0,0,0
202102,7호선,신중동,3,4047,12262,34952,34189,17121,12887,12568,14114,13683,14199,14788,16387,21154,33963,15137,16594,12364,7033,1550,0,0,0,0
202102,7호선,신풍,36,7512,12460,31326,41053,22877,13455,11649,12879,12859,11407,11217,12003,13931,15473,8417,6361,5868,3388,999,4,0,0,0
202102,7호선,어린이대공원(세종대),0,2297,5314,13125,24157,17333,10067,9532,10498,11454,12453,14961,18407,24140,29227,15760,11237,12469,8698,2697,3,0,0,0
202102,7호선,온수(성공회대입구),69,5317,11823,38232,46169,20218,10675,9110,9673,9382,7903,7413,8352,9382,9347,4865,3472,3555,2042,704,5,0,0,0
202102,7호선,용마산(용마폭포공원),7,3746,8466,18146,23789,13223,7214,6467,6797,6507,6146,5914,6069,6143,6138,3746,2208,2000,1428,538,1,0,0,0
202102,7호선,이수,35,3151,6475,19571,32648,21058,14511,14026,15996,17723,18508,19038,21262,24666,34732,20205,19940,23603,13063,2586,3,0,0,0
202102,7호선,장승배기,23,5227,8869,21882,33306,19289,11843,10553,10784,11433,10635,9929,10715,11298,13078,7086,5889,6015,3326,930,3,0,0,0
202102,7호선,장암,0,963,4578,12038,8379,2963,1569,1385,1601,1739,1946,2487,2717,2700,2136,1215,851,659,246,94,0,0,0,0
202102,7호선,중계,9,6575,17192,47362,49363,25874,17917,16254,16661,15037,13340,12874,13490,14341,12817,6637,5233,5324,3328,931,2,0,0,0
202102,7호선,중곡,1,4204,9498,23734,36839,20704,12395,11948,11776,10915,10686,10185,11386,12007,11104,7224,4839,4677,2805,806,1,0,0,0
202102,7호선,중화,6,6768,11170,28311,38284,21260,13268,11396,12638,12069,11534,10806,11732,13219,14964,8473,6024,6032,3286,1027,3,0,0,0
202102,7호선,천왕,15,5339,12763,36323,47529,23664,12754,11177,11927,11346,9794,8890,10043,10198,10079,5481,3797,3555,2361,644,6,0,0,0
202102,7호선,철산,3,7325,20142,61225,68523,34200,22007,20747,22276,21888,20498,20900,23156,26998,26880,17117,17799,18979,10247,2411,7,0,0,0
202102,7호선,청담,15,1475,4700,7436,9802,8535,8271,10383,13258,14736,17708,23989,30788,49691,87934,46353,27325,27929,15877,2751,3,0,0,0
202102,7호선,춘의,2,3787,7555,18391,19155,10333,7458,6908,7263,7776,7349,8098,10289,21669,33930,12714,8107,7349,3337,703,0,0,0,0
202102,7호선,태릉입구,65,5417,5855,15750,20199,12971,9224,8728,9244,9465,9432,9601,10641,13307,13645,8212,6060,6652,3952,1238,3,0,0,0
202102,7호선,하계,26,6113,17796,52625,55028,29689,21300,20040,20869,20016,19060,19755,20134,21101,18737,10531,8826,8717,5433,1253,1,0,0,0
202102,7호선,학동,2,1416,3666,6317,8468,8164,8133,10338,12991,15388,19423,24684,30834,55823,129386,62496,32263,33897,19682,3813,7,0,0,0
202102,8호선,가락시장,18,1979,4022,7726,10018,6953,7444,8616,9009,9374,11020,12315,12255,14956,23184,10192,9318,10878,5622,1176,3,0,0,0
202102,8호선,강동구청,7,3747,8283,23714,33164,17958,11465,10356,10842,11162,11041,10811,11261,14482,22574,8920,6292,6373,3525,838,3,0,0,0
202102,8호선,남한산성입구(성남법원.검찰청),9,7896,16202,37048,50262,26344,16106,14439,14971,14999,13837,13159,13176,15702,17379,8065,5400,4183,2632,792,0,0,0,0
202102,8호선,단대오거리,2,6369,11738,26884,32367,17697,12073,11324,11952,11829,10929,10654,11968,14089,17397,8353,5345,4760,2545,734,0,0,0,0
202102,8호선,모란,6,1543,2468,6186,8724,5639,4653,5582,5835,6474,7358,7911,7488,7214,7809,4695,3685,4646,2731,707,1,0,0,0
202102,8호선,몽촌토성(평화의문),2,1088,2710,7396,11474,6456,4550,4781,5178,5398,5663,6870,9793,12091,16175,6868,5526,6357,3632,836,1,0,0,0
202102,8호선,문정,1,1741,4769,16584,23637,14697,11081,12130,14546,16300,19532,21592,24331,57038,103369,38799,24559,25595,13665,2165,0,0,0,0
202102,8호선,복정,1,3439,7984,22441,29757,17961,11190,9133,9888,9808,9030,10911,12793,17007,20431,11656,7136,6794,4675,1378,6,0,0,0
202102,8호선,산성,12,3756,8066,20077,24378,13727,8530,7738,7900,7843,7428,7306,7043,7507,6646,3210,2455,2106,1178,575,0,0,0,0
202102,8호선,석촌,0,2300,4172,11436,18024,10287,7207,7518,8493,8811,8924,9540,10602,12736,16121,8818,8056,9686,5366,1100,3,0,0,0
202102,8호선,송파,1,1903,6458,18584,24367,12619,8680,8597,9082,8946,8411,10026,9233,10329,12731,6223,4789,4363,2377,722,5,0,0,0
202102,8호선,수진,1,2869,5110,12316,17656,9352,6418,6217,6954,6449,6033,6077,6558,6585,6494,3354,2984,2322,1397,497,3,0,0,0
202102,8호선,신흥,4,2977,4451,9745,12659,7558,5366,5319,5713,5972,5971,5964,6551,6684,6505,3716,3308,2595,1614,437,1,0,0,0
202102,8호선,암사,18,11184,19003,59692,81795,39913,21326,19437,20106,20072,17670,16565,17260,17113,17480,10357,8547,7186,3949,1064,3,0,0,0
202102,8호선,잠실(송파구청),3,912,2996,6078,10563,7468,6885,9140,10989,13608,16837,21594,25447,35606,52415,29796,29997,27484,13883,2086,1,0,0,0
202102,8호선,장지,0,4092,11455,35324,41275,22941,14628,14136,15640,16575,16950,18645,24022,30180,40442,22076,18770,17876,9448,1889,0,0,0,0
202102,8호선,천호(풍납토성),30,8691,13167,31683,45544,25938,15367,14905,16756,17182,17277,17994,19359,21754,24099,16296,16179,14216,7572,1629,3,0,0,0
202102,9호선,가양,26,11044,18104,53813,56314,31440,23067,22889,23824,23559,20659,21991,24036,26941,33136,16411,11931,11019,5776,1179,0,0,0,0
202102,9호선,개화,5,1200,3900,9084,6566,2509,1801,1698,2047,1862,1850,2001,2902,4365,4715,2319,1351,1414,377,167,0,0,0,0
202102,9호선,고속터미널,10,1479,3575,11010,15137,11286,9947,12029,14356,15618,17583,20029,23282,25751,25917,21864,19140,16432,9464,2096,1,0,0,0
202102,9호선,공항시장,3,2588,3472,6598,7681,4444,3658,3494,3613,3473,3343,3265,3495,3556,3368,2075,1945,1769,933,271,1,0,0,0
202102,9호선,구반포,1,379,1344,3281,4486,3083,2545,2671,3196,3562,3697,3862,4295,5281,7265,3773,3021,2756,1376,216,0,0,0,0
202102,9호선,국회의사당,0,515,1356,2985,4882,3943,5308,8333,9494,10637,14011,15731,19775,48421,87996,30485,18622,19614,10306,1717,0,0,0,0
202102,9호선,김포공항,16,1128,2642,6138,8044,6729,8233,9271,8452,10256,13349,13940,13932,15193,17894,13410,14700,14431,7941,974,9,0,0,0
202102,9호선,노들,11,2431,3504,11613,15752,8837,5753,5152,5378,5464,4907,4537,4829,4859,4704,2563,1914,1737,1114,376,0,0,0,0
202102,9호선,노량진,281,11427,17184,44363,68759,37927,23425,23114,26337,28296,25287,24579,27634,34665,42893,23346,28768,32627,20259,3204,0,0,0,0
202102,9호선,당산,26,6184,12217,37743,44250,24815,17822,17961,20095,19841,18669,19076,20328,25803,35295,18883,16468,17414,9953,2187,2,0,0,0
202102,9호선,동작(현충원),18,770,1243,3779,4972,2687,1976,1987,2250,2138,2072,2107,2591,2532,3154,1449,1113,1218,730,172,1,0,0,0
202102,9호선,등촌,4,3909,10205,30774,38185,16838,11780,12129,12964,12605,12217,11994,11957,12567,15001,7155,5936,5857,3707,889,1,0,0,0
202102,9호선,마곡나루(서울식물원),6,2463,6646,19913,21313,10760,7779,8762,10113,10449,10436,12325,14808,21372,29958,13999,12288,14440,7825,1543,11,0,0,0
202102,9호선,사평,8,605,1966,6173,7416,4643,3239,3295,3867,3865,3501,4056,5120,5667,5550,3221,2002,1986,1044,255,0,0,0,0
202102,9호선,샛강,19,801,1371,3422,4534,3340,3112,3942,4179,5091,5598,6852,8223,14670,24651,9323,7070,8295,4844,945,0,0,0,0
202102,9호선,선유도,3,1293,3800,14449,17521,7707,5085,5759,6667,6394,7148,7613,8661,13873,27632,10436,5937,5738,3198,810,0,0,0,0
202102,9호선,신논현,30,2434,9152,23063,33296,22217,19455,23755,29164,32331,34929,41739,50457,64623,89870,66103,55758,67155,37724,5123,4,0,0,0
202102,9호선,신목동,0,1417,4284,13295,13596,6493,4092,3758,4052,3882,3415,3660,4202,4383,4316,2127,1458,1715,1128,287,0,0,0,0
202102,9호선,신반포,0,222,1391,3872,5146,3360,2613,2687,3253,3546,3328,4578,6870,8281,7091,4043,2723,2421,1489,349,0,0,0,0
202102,9호선,신방화,8,3356,8085,20385,19759,10850,7934,7350,7986,8108,7229,7112,7485,7572,7930,4175,3815,3092,1883,608,0,0,0,0
202102,9호선,양천향교,1,3111,6813,22738,23209,11350,8706,8844,10068,9574,9440,9968,11100,14936,23462,8940,5582,5588,2861,706,0,0,0,0
202102,9호선,여의도,8,2130,2893,6236,8039,7881,8965,13040,13760,17779,20300,26056,36196,93352,112869,51754,39046,38630,16836,2176,0,0,0,0
202102,9호선,염창,0,8092,18554,56036,63175,33046,19830,18016,18399,17859,15293,14313,14917,17168,19506,9776,8164,7962,4490,1030,5,0,0,0
202102,9호선,증미,1,1735,5419,16002,15692,8253,6268,6656,7036,7651,7666,7936,8576,11916,24098,8216,5802,4497,2087,642,0,0,0,0
202102,9호선,흑석(중앙대입구),10,2352,4144,11968,16652,10272,8075,8607,9216,9276,9803,10668,12623,14946,11734,6774,5982,5910,4391,803,0,0,0,0
202101,1호선,동대문,542,11232,6920,10340,14857,13070,11682,13016,15784,16952,19355,20306,20926,20108,19005,12907,11741,9187,4139,1426,6,0,0,0
202101,1호선,동묘앞,78,2391,2761,4457,6977,5588,6386,9706,14318,19975,25755,28426,27605,23169,16419,6999,4789,4265,1982,517,1,0,0,0
202101,1호선,서울역,445,6832,8835,27116,43277,31927,29589,35644,43336,44588,40502,50240,58078,93883,144127,72171,49654,51601,20790,6527,32,0,0,0
202101,1호선,시청,18,1489,2235,4971,6119,6335,7012,10198,11459,13648,18213,24043,27737,55134,108895,41170,34710,33243,9286,2254,4,0,0,0
202101,1호선,신설동,279,6413,6769,13739,19137,12766,11310,12868,14144,16963,17564,18799,22733,33392,48075,17757,13613,10978,3813,1156,9,0,1,0
202101,1호선,제기동,271,3964,6349,15914,24375,16498,18389,25596,32622,37045,40870,42216,35715,33310,30408,12792,9330,8422,4617,1601,5,0,0,0
202101,1호선,종각,113,1852,2578,4413,6631,7997,10911,16566,20303,24807,31147,41132,47952,94486,153681,69054,65480,66880,13805,3108,10,1,0,0
202101,1호선,종로3가,109,2187,2374,3297,5367,7144,13136,21589,27183,33818,38643,42923,45809,56011,79064,43768,35106,33741,8128,2142,7,0,0,0
202101,1호선,종로5가,157,1170,1933,3473,5745,7670,12690,19495,24775,29465,36459,41052,46796,61473,82698,38369,26177,20639,5426,1449,3,0,0,0
202101,1호선,청량리(서울시립대입구),860,8101,11290,28669,36183,24516,22908,26819,31821,35026,39781,43135,43645,39305,33065,17157,14256,10439,3632,1009,11,0,0,0
202101,2호선,강남,110,5034,13743,29652,46525,37172,37419,51439,65397,74938,86107,111104,125759,190350,278385,177478,159575,189419,43747,11496,10,0,0,0
202101,2호선,강변(동서울터미널),6,6507,20746,62162,82739,55500,35773,34518,36069,35391,35384,35252,35507,39405,45123,32220,24895,21116,8647,2738,7,0,0,0
202101,2호선,건대입구,99,10196,15521,41543,73021,48020,26759,25530,29378,32171,34681,37936,43920,53211,67571,49289,67062,73464,16354,4654,6,0,0,0
202101,2호선,교대(법원.검찰청),16,1831,10190,18684,27004,21432,20350,24357,27771,32984,39325,44520,50526,81945,122747,56682,47941,56347,14777,4504,12,0,0,0
202101,2호선,구로디지털단지,149,31848,45017,111142,154198,92286,51478,45411,48793,51787,49036,50311,60112,105315,186197,93693,61018,55066,19572,5003,4,0,0,0
202101,2호선,구의(광진구청),29,11039,20895,52867,91632,52706,26482,22104,23003,23505,22616,22220,24029,28910,35171,17431,16225,16875,7683,3025,5,0,0,0
202101,2호선,낙성대(강감찬),59,9693,21070,61348,102281,64900,32575,27249,29807,30024,27836,28141,29926,35411,37741,21494,18214,17779,9620,3109,4,0,0,0
202101,2호선,당산,19,4792,13516,35071,42891,25738,16216,15537,17031,17639,17103,17593,20736,30118,49418,21964,18626,20165,7108,2284,2,0,0,0
202101,2호선,대림(구로구청),278,26679,25802,52499,77458,48077,27579,22826,25841,26406,25947,25781,27314,35561,46182,23590,16312,14537,6058,2214,4,0,0,0
202101,2호선,도림천,0,271,907,2520,2964,1507,1725,1368,2301,1440,1817,1892,2534,2666,3439,1849,859,873,241,98,0,0,0,0
202101,2호선,동대문역사문화공원(DDP),345,6154,3699,5189,7526,7598,6887,9002,11153,11999,14833,17648,21626,28326,32479,20046,17718,15197,6025,2249,1,0,0,0
202101,2호선,뚝섬,10,2833,6441,14571,21655,13285,10460,10687,13139,16053,17961,20378,25542,45036,100514,48622,29624,27154,8235,1886,1,0,0,0
202101,2호선,문래,13,2986,9964,33418,37298,20696,14132,13356,15785,17036,17692,19397,24257,46487,87393,30471,24147,23175,6196,1806,1,0,0,0
202101,2호선,방배,3,2120,7776,17787,25560,20090,13888,13843,15147,18110,17759,19383,25724,35334,55232,23585,17724,19974,6417,2076,1,0,0,0
202101,2호선,봉천,70,12888,23325,64508,100646,57687,30200,24646,25683,26739,23844,23328,23042,23867,26663,15271,13525,13194,5615,2014,3,0,0,0
202101,2호선,사당,241,10062,20452,56743,80653,56143,34321,31567,35449,37127,36995,38010,42071,53076,71777,47610,48165,53571,15943,4948,24,0,0,0
202101,2호선,삼성(무역센터),121,3637,5395,11858,15965,15575,16247,23205,28470,36225,45684,58856,73902,142313,227196,120362,104334,84363,21730,4351,1,0,0,0
202101,2호선,상왕십리,46,4600,10226,29794,47721,25664,15686,14109,14765,15139,14654,14873,15447,19573,23646,13297,9829,9608,3926,1139,0,0,0,0
202101,2호선,서울대입구(관악구청),3494,24038,34462,99513,150221,95946,49820,44674,48491,51073,49709,51595,56225,61200,68282,42141,41907,45317,17231,5752,3,0,0,0
202101,2호선,서초,22,1077,5922,10989,18161,17441,13348,15706,16001,19093,22593,28163,31681,55588,85208,35468,25187,25887,9722,2471,4,0,0,0
202101,2호선,선릉,30,2881,8540,16420,23955,22164,23902,31827,37315,44823,54961,70473,99754,148380,234548,119417,83214,95614,27077,7135,8,0,0,0
202101,2호선,성수,14,4179,8025,18452,25980,18388,15317,17076,19045,23383,26558,30550,39869,85623,187090,83822,51293,49326,13370,3069,3,0,0,0
202101,2호선,시청,12,830,1438,4133,5609,6782,8528,12957,12403,15432,20107,23855,27210,64690,138358,48353,33310,32628,8700,1767,9,0,0,0
